Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-10-03,529,533,516,525,2172
2022-10-04,520,528,520,524,1125
2022-10-05,521,525,513,513,644
2022-10-06,515,522,511,519,1563
2022-10-07,522,538,515,538,6053
2022-10-10,535,535,525,530,1736
2022-10-11,530,534,521,534,2849
2022-10-12,534,539,530,530,3818
2022-10-13,532,548,527,538,19500
2022-10-14,545,545,536,539,5556
2022-10-17,540,541,532,541,1442
2022-10-18,547,547,526,526,2734
2022-10-19,528,528,512,512,1399
2022-10-20,517,528,514,522,1083
2022-10-21,524,526,518,526,916
2022-10-24,528,530,520,520,613
2022-10-25,521,525,520,522,1206
2022-10-26,522,540,521,539,1628
2022-10-27,537,537,524,525,738
2022-10-28,521,532,521,531,511
2022-10-31,531,548,528,539,3382
2022-11-02,538,540,531,540,1213
2022-11-03,540,541,531,532,850
2022-11-04,531,566,531,550,4492
2022-11-07,550,559,542,542,1803
2022-11-08,554,554,546,551,553
2022-11-09,555,555,535,535,1375
2022-11-10,535,540,524,540,4722
2022-11-14,535,544,528,532,2480
2022-11-15,536,541,525,525,2449
2022-11-16,525,526,518,520,3779
2022-11-17,521,527,516,527,4065
2022-11-18,528,528,513,513,3700
2022-11-21,512,516,500,500,3074
2022-11-22,500,522,500,518,3556
2022-11-23,512,521,510,512,706
2022-11-24,515,526,511,525,2216
2022-11-25,526,535,522,535,1956
2022-11-28,534,534,517,524,1702
2022-11-29,525,531,507,511,1677
2022-11-30,516,539,509,536,2688
2022-12-01,537,550,534,550,5497
2022-12-02,542,560,533,560,4415
2022-12-05,559,563,543,543,12457
2022-12-06,543,546,532,540,1638
2022-12-07,540,545,536,543,1598
2022-12-08,540,543,535,540,2397
2022-12-09,540,543,531,531,1334
2022-12-12,538,563,534,550,7362
2022-12-13,550,565,543,560,7047
2022-12-14,565,565,547,553,5616
2022-12-15,557,561,539,540,7530
2022-12-16,539,557,535,557,5583
2022-12-19,557,568,552,564,2291
2022-12-20,558,580,557,577,6994
2022-12-21,577,582,569,576,1943
2022-12-22,577,581,566,581,3275
2022-12-23,574,579,573,575,889
2022-12-27,576,583,570,576,890
2022-12-28,579,579,568,578,5783
2022-12-29,575,590,575,590,2074
2022-12-30,590,596,578,590,3243
2023-01-02,580,590,580,590,665
2023-01-03,581,612,580,604,6517
2023-01-04,605,627,600,623,3025
2023-01-05,616,632,597,608,3771
2023-01-09,605,609,595,609,5774
2023-01-10,610,618,606,616,1264
2023-01-11,616,620,592,598,2007
2023-01-12,600,600,569,578,5126
2023-01-13,579,580,567,570,4149
2023-01-16,576,583,563,583,1499
2023-01-17,582,582,572,575,8389
2023-01-18,575,580,563,565,2059
2023-01-19,563,573,560,570,4057
2023-01-20,570,579,566,569,731
2023-01-23,570,578,567,578,573
2023-01-24,578,580,573,576,1010
2023-01-25,579,580,571,578,1407
2023-01-26,580,590,574,589,6818
2023-01-27,587,593,580,583,2213
2023-01-30,580,586,572,572,2717
2023-01-31,581,585,573,585,5254
2023-02-01,583,583,571,576,1739
2023-02-02,573,581,571,581,1260
2023-02-03,581,599,581,593,1903
2023-02-06,593,593,578,580,6658
2023-02-07,575,596,575,596,1052
2023-02-08,597,609,596,609,1836
2023-02-09,608,614,602,614,1480
2023-02-10,610,613,586,586,6775
2023-02-13,589,589,572,575,2204
2023-02-14,580,599,578,599,2238
2023-02-15,599,606,586,606,1749
2023-02-16,595,604,591,600,1467
2023-02-17,595,599,592,592,306
2023-02-20,590,606,586,606,1854
2023-02-21,606,612,597,607,3372
2023-02-22,601,630,600,625,4455
2023-02-23,624,628,613,628,9031
2023-02-24,625,640,613,640,5823
2023-02-27,639,642,627,628,25950
2023-02-28,634,666,631,647,17011
2023-03-01,653,660,639,647,2354
2023-03-02,645,652,639,644,5014
2023-03-03,645,655,640,655,3607
2023-03-06,650,664,650,661,2990
2023-03-07,664,664,637,644,4483
2023-03-08,650,674,645,669,3594
2023-03-09,667,684,664,672,2309
2023-03-10,675,678,664,664,2516
2023-03-13,668,672,649,665,3701
2023-03-14,669,677,665,668,1434
2023-03-15,677,678,659,662,9344
2023-03-16,665,675,663,673,2930
2023-03-17,675,675,664,665,2530
2023-03-20,665,674,654,672,3266
2023-03-21,675,677,667,670,1625
2023-03-22,670,680,669,675,2098
2023-03-23,670,675,666,666,850
2023-03-24,660,677,660,666,3017
2023-03-27,664,673,664,673,2054
2023-03-28,673,673,663,667,2379
2023-03-29,665,680,663,677,2625
2023-03-30,676,676,658,660,1268
2023-03-31,654,675,652,665,1318
2023-04-03,668,668,650,651,1199
2023-04-04,652,652,636,638,2750
2023-04-05,634,657,609,649,8089
2023-04-06,651,653,638,644,3896
2023-04-11,644,644,618,622,2296
2023-04-12,616,629,611,623,2773
2023-04-13,627,631,618,629,1835
2023-04-14,637,653,629,629,4565
2023-04-17,630,644,627,630,2572
2023-04-18,633,647,630,635,1915
2023-04-19,636,645,624,624,1756
2023-04-20,621,631,620,628,1397
2023-04-21,626,638,622,636,1589
2023-04-24,636,636,628,629,975
2023-04-25,630,635,627,635,1002
2023-04-26,635,635,629,630,1548
2023-04-27,632,634,626,626,1677
2023-04-28,626,635,625,626,1188
2023-05-02,626,627,612,614,1333
2023-05-04,628,628,612,615,1385
2023-05-05,614,627,612,621,870
2023-05-08,621,627,615,615,582
2023-05-09,622,630,617,617,958
2023-05-10,624,624,615,617,1655
2023-05-11,620,624,617,620,1748
2023-05-12,626,636,619,620,2574
2023-05-15,624,630,618,629,4501
2023-05-16,630,670,630,665,3753
2023-05-17,664,664,649,650,1357
2023-05-18,651,660,646,660,3320
2023-05-19,665,665,643,652,2806
2023-05-22,652,660,645,650,654
2023-05-23,646,648,633,641,1320
2023-05-24,641,641,622,640,1799
2023-05-25,640,642,629,632,1114
2023-05-26,634,639,633,633,585
2023-05-29,632,639,625,632,782
2023-05-30,631,632,625,628,3443
2023-05-31,628,634,622,622,1813
2023-06-01,628,633,623,630,9348
2023-06-02,625,654,625,653,11270
2023-06-05,652,695,652,680,6652
2023-06-06,687,700,674,700,11515
2023-06-07,700,709,690,695,3696
2023-06-09,685,693,682,686,1409
2023-06-12,670,673,657,660,9570
2023-06-13,657,665,649,653,1916
2023-06-14,653,705,653,695,5946
2023-06-15,700,729,700,728,4975
2023-06-16,730,737,707,711,6783
2023-06-19,713,739,710,710,2605
2023-06-20,714,718,684,690,2581
2023-06-21,695,696,682,683,867
2023-06-22,682,699,682,690,3029
2023-06-23,695,708,690,695,3527
2023-06-26,695,721,695,709,2052
2023-06-27,706,711,693,693,1934
2023-06-28,696,713,696,701,2444
2023-06-29,711,718,705,712,2138
2023-06-30,721,725,710,710,2488
2023-07-03,710,719,700,719,2835
2023-07-04,715,738,715,720,10069
2023-07-05,719,722,712,712,1199
2023-07-06,712,743,702,740,3365
2023-07-07,738,738,706,712,8779
2023-07-10,715,723,707,711,1678
2023-07-11,718,728,712,716,1485
2023-07-12,722,722,711,720,1213
2023-07-13,722,731,708,725,6604
2023-07-14,728,742,721,725,4320
2023-07-17,725,726,700,706,3678
2023-07-18,703,707,687,694,7913
2023-07-19,696,701,688,688,5141
2023-07-20,695,720,681,713,12704
2023-07-21,716,725,707,724,1838
2023-07-24,724,727,716,716,811
2023-07-25,719,719,713,717,1009
2023-07-26,717,717,703,710,1102
2023-07-27,719,719,703,710,1662
2023-07-28,710,715,703,706,1199
2023-07-31,702,706,694,699,2512
2023-08-01,700,719,696,715,3714
2023-08-02,720,720,695,699,1420
2023-08-03,707,715,703,708,1618
2023-08-04,711,711,701,701,1614
2023-08-07,702,715,701,701,1800
2023-08-08,703,707,695,696,1505
2023-08-09,700,700,691,698,883
2023-08-10,702,704,691,692,1270
2023-08-11,699,700,692,694,1036
2023-08-14,695,709,692,708,1424
2023-08-16,705,707,691,694,1419
2023-08-17,694,698,689,689,1366
2023-08-18,690,697,688,690,822
2023-08-21,696,700,690,698,992
2023-08-22,700,712,696,712,1906
2023-08-23,712,715,696,709,2043
2023-08-24,710,716,695,697,753
2023-08-25,688,694,668,670,2984
2023-08-28,671,682,655,669,2406
2023-08-29,671,690,671,682,1246
2023-08-30,683,684,671,671,786
2023-08-31,672,707,671,702,2030
2023-09-01,703,711,699,703,966
2023-09-04,705,705,694,699,913
2023-09-05,698,704,694,700,1563
2023-09-06,699,700,690,695,1222
2023-09-07,698,700,683,684,1612
2023-09-08,692,697,686,694,1178
