Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,256.784,264.95,256.331,258.599,8449.7414860151
2023-01-03,258.599,267.219,257.692,265.858,14100.168589028
2023-01-04,263.136,269.941,262.228,265.858,15281.611509728
2023-01-05,265.858,267.673,254.97,256.331,23240.92193258
2023-01-09,262.228,267.219,257.238,261.774,16491.708829624
2023-01-10,258.599,263.136,258.146,258.146,10994.472553083
2023-01-11,259.506,263.136,256.784,257.692,8642.6076344503
2023-01-12,258.599,265.858,255.877,261.322,17631.272243807
2023-01-13,261.322,264.043,259.96,263.136,6969.6315583096
2023-01-16,263.136,266.312,262.682,264.043,9460.3601038156
2023-01-17,264.043,265.404,258.599,259.052,6216.902533274
2023-01-18,264.497,264.497,256.784,256.784,13425.688115643
2023-01-19,255.423,256.331,249.071,251.34,13650.514940105
2023-01-20,251.793,253.609,248.618,248.618,11254.566330401
2023-01-23,249.525,252.247,249.525,249.525,14602.722667236
2023-01-24,250.887,254.516,248.618,248.618,6403.1561280485
2023-01-25,249.071,249.525,245.442,248.618,8408.9640717746
2023-01-26,250.433,250.433,247.257,248.618,11323.998143838
2023-01-27,249.071,249.979,247.257,249.525,11821.041760662
2023-01-30,249.525,249.979,245.442,246.349,11101.37550393
2023-01-31,246.349,255.423,246.349,252.247,51234.065762602
2023-02-01,252.247,261.322,250.433,257.692,13274.701473725
2023-02-02,259.96,260.414,251.793,259.506,22967.60304794
2023-02-03,259.506,266.765,257.692,259.506,36553.094543715
2023-02-06,258.599,259.506,243.628,244.989,38727.522605787
2023-02-07,244.989,248.618,243.174,246.803,29942.745067633
2023-02-08,246.803,246.803,243.174,243.174,16297.740588912
2023-02-09,243.174,246.803,243.174,246.803,17076.919828591
2023-02-10,249.525,249.525,241.813,242.72,19659.122033069
2023-02-13,244.081,246.803,242.72,245.896,21421.367583628
2023-02-14,244.989,251.34,243.628,246.803,22465.048969732
2023-02-15,244.081,245.896,243.628,245.896,8610.6469584239
2023-02-16,244.989,249.071,242.72,249.071,17171.699764393
2023-02-17,248.165,251.34,245.442,250.433,4347.7540318677
2023-02-20,250.433,250.887,247.711,249.979,6373.3996365757
2023-02-21,250.433,250.433,244.535,244.535,6974.0399274167
2023-02-22,244.989,245.896,241.359,244.989,26897.664106911
2023-02-23,244.989,245.896,244.081,244.989,10032.345995461
2023-02-24,246.349,248.618,244.989,248.618,9401.9492131466
2023-02-27,249.979,250.433,244.535,244.989,4385.225169278
2023-02-28,247.257,255.423,245.896,255.423,20358.950628819
2023-03-01,257.692,264.497,255.877,264.043,19027.623158478
2023-03-02,264.043,265.858,257.692,264.497,22447.415493303
2023-03-03,263.136,265.404,262.682,264.043,10540.410535053
2023-03-06,265.404,265.858,259.96,263.136,17652.211997066
2023-03-07,263.136,275.839,259.96,274.025,30817.806335391
2023-03-08,272.209,277.654,270.395,275.385,25593.888943489
2023-03-09,275.385,282.644,271.756,282.19,20850.48378426
2023-03-10,279.468,281.283,275.839,280.83,24043.24511007
2023-03-13,278.561,282.19,272.663,277.2,24705.60256841
2023-03-14,278.107,281.283,275.385,281.283,4588.0101482041
2023-03-15,281.283,282.19,273.117,274.931,13865.422934075
2023-03-16,276.747,276.747,269.487,276.293,24388.1999927
2023-03-17,276.293,279.922,275.385,278.561,14354.751904962
2023-03-20,278.561,278.561,271.756,273.117,8237.037676598
2023-03-21,274.025,282.19,274.025,277.2,12508.747341368
2023-03-22,279.468,291.718,279.015,287.634,14337.118428534
