Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-12-02,37.8,38.48,37,37.9,250074
2022-12-05,38.32,39.45,37.78,39.28,202882
2022-12-06,39.2,39.2,38,38,106603
2022-12-07,38,38.7,37.7,38.7,99528
2022-12-08,38.7,38.7,37.8,38.16,81861
2022-12-09,38.55,38.88,37.79,38.25,99460
2022-12-12,38.23,38.23,37.38,37.97,89077
2022-12-13,38.08,39.2,37.51,38.62,205465
2022-12-14,38.5,38.73,38,38.19,135398
2022-12-15,38.03,38.13,36.5,36.5,296276
2022-12-16,36.4,36.87,36.12,36.24,351335
2022-12-19,36.42,38.42,36.11,38.08,252668
2022-12-20,37.1,38.29,37.04,37.66,131209
2022-12-21,37.7,38.4,37.48,38.4,264919
2022-12-22,38.32,39.33,38.32,38.98,371114
2022-12-23,38.85,40.1,38.85,40.1,484975
2022-12-27,40.28,42.22,40.28,41.16,568130
2022-12-28,41.36,43.46,40.69,43.03,550462
2022-12-29,42.97,43.78,42.26,43.49,284155
2022-12-30,43.4,44.2,42.47,42.87,262093
2023-01-02,43,44.17,42.33,43.44,155610
2023-01-03,43.03,44,42.8,43,191870
2023-01-04,43.23,45.86,43.23,45.86,423583
2023-01-05,45.95,48.28,45.52,46.82,629032
2023-01-09,47.5,48.17,44.87,45.8,532150
2023-01-10,45.6,46.58,45,45.95,299007
2023-01-11,46,46.45,44.8,44.8,180739
2023-01-12,44.8,45.69,43.3,44.07,253547
2023-01-13,44.11,44.23,43,43.29,185175
2023-01-16,43.29,44.26,43.15,43.5,182777
2023-01-17,43.51,44.28,43.02,43.64,126520
2023-01-18,43.66,44,42.36,42.55,352689
2023-01-19,42.2,42.73,41.15,41.5,223861
2023-01-20,41.59,42.21,41.08,42.01,205925
2023-01-23,42.85,43.58,42.06,42.27,224399
2023-01-24,42.59,43.72,42.37,42.55,242235
2023-01-25,42.3,42.8,41.6,41.72,147537
2023-01-26,42.22,42.76,41.71,42.36,118170
2023-01-27,42.58,43.39,42.11,42.21,179870
2023-01-30,42.4,42.96,41.62,42.9,159819
2023-01-31,42.8,44.3,42.5,44,287807
2023-02-01,44,44,40.25,41.02,620431
2023-02-02,41.81,42.78,41.6,42,260111
2023-02-03,42,42.24,40.74,41.09,141217
2023-02-06,40.8,41.09,39.11,39.28,327034
2023-02-07,38.6,39.1,37.25,38.3,413823
2023-02-08,38.95,38.99,37.45,37.65,440292
2023-02-09,38,38.7,37.8,38,211966
2023-02-10,37.81,37.85,35.92,36.93,524514
2023-02-13,37,37.2,35.15,35.61,529981
2023-02-14,35.81,36.18,34.82,35.09,317302
2023-02-15,35,35.84,34.75,35.32,217667
2023-02-16,35.5,36.55,34.78,36.5,339378
2023-02-17,36.55,36.62,35.58,36.02,223804
2023-02-20,36.3,36.42,35.05,35.19,174522
2023-02-21,35.5,35.5,34.02,34.49,231283
2023-02-22,34.5,34.5,33.56,34.2,274724
2023-02-23,34.26,35.43,34.04,35.04,252363
2023-02-24,35.18,35.39,34.42,34.76,130389
2023-02-27,35,35.18,34.51,35.13,52761
2023-02-28,35.1,35.52,34.8,35.39,117073
2023-03-01,35.48,35.94,35.11,35.49,114209
2023-03-02,35.49,35.49,34.6,34.68,114327
2023-03-03,35.08,35.71,34.83,35.45,163952
2023-03-06,35.69,36.43,35.5,35.96,190409
2023-03-07,36,36.06,34.86,34.88,231989
2023-03-08,34.99,35.22,34.62,34.99,149631
2023-03-09,35.2,35.27,34.54,35.23,116881
2023-03-10,34.84,36.08,34.45,35.43,267103
2023-03-13,35.96,36.88,34.51,35.05,413456
2023-03-14,35,35.73,34.68,35.7,166889
