Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-08-02,88.658,88.8058,85.1117,85.2102,304595.80119964
2022-08-03,85.2891,87.8601,85.2595,86.3923,256224.54160249
2022-08-04,87.1804,92.1551,86.3923,91.101,445882.51496105
2022-08-05,91.1208,93.4751,90.6479,91.2783,432931.40205569
2022-08-08,92.1059,92.1059,88.7664,90.3327,336836.54002032
2022-08-09,90.5987,91.7512,87.141,87.1804,238906.31098911
2022-08-10,88.1655,91.3671,86.2938,90.6282,285797.50140489
2022-08-11,90.6282,94.47,90.0962,94.1843,345976.83008145
2022-08-12,94.9626,94.9626,91.8005,92.5984,289543.3555059
2022-08-16,94.0464,95.2483,90.441,91.17,300301.77332774
2022-08-17,91.17,92.49,90.3327,92.1059,290700.61124443
2022-08-18,92.1059,93.0909,89.4461,90.7267,189548.33860438
2022-08-19,89.6135,90.0372,87.604,87.604,475831.07531016
2022-08-22,87.0819,87.604,84.4222,84.7768,503632.62172332
2022-08-23,84.7768,85.1708,82.649,82.7475,375652.31868173
2022-08-24,82.7475,83.6834,81.3487,82.7573,365751.69129766
2022-08-25,83.5355,84.4615,80.9251,81.6048,212300.59550576
2022-08-26,81.6639,84.5797,80.7773,82.7475,459369.61999794
2022-08-29,81.0925,81.6935,79.6445,81.2994,207071.62681353
2022-08-30,81.6245,82.4225,80.2847,80.6887,372704.36195833
2022-08-31,80.7872,84.7176,80.7773,82.8657,579040.01472762
2022-09-01,82.7475,82.7475,80.0878,80.2847,374841.22452815
2022-09-02,80.6985,81.2699,78.9253,80.7773,380157.49496908
2022-09-05,80.8266,82.1269,79.7922,80.4424,366689.67752783
2022-09-06,80.9743,81.1614,77.2506,77.3985,422181.10532675
2022-09-07,79.7922,82.9445,75.6647,76.7286,715632.73679171
2022-09-08,79.7922,83.1809,77.8516,80.8857,974494.6033141
2022-09-09,83.4371,86.4908,81.7624,86.4908,619270.89382719
2022-09-12,86.6879,86.8948,81.3881,83.378,644825.94291635
2022-09-13,84.1266,88.1457,83.7424,84.8753,868929.53181847
2022-09-14,84.6191,89.2983,83.7424,89.0914,662630.42396723
2022-09-15,89.2491,91.2192,87.1804,90.3327,1050796.3316742
2022-09-16,88.5201,89.584,85.2201,87.4463,2863395.8435609
2022-09-19,93.682,96.0067,86.5893,87.5842,1662615.1076273
2022-09-20,88.461,89.2983,86.5106,87.9586,552539.87345199
2022-09-21,87.1015,88.8846,85.427,86.609,409752.78777695
2022-09-22,85.4072,90.1356,84.767,87.1705,954810.08925643
2022-09-23,88.658,92.2338,87.1804,89.1407,1579866.2466396
2022-09-26,93.5539,102.449,89.7514,101.149,1498150.7947238
2022-09-27,100.794,105.385,98.5286,102.509,1663748.0000871
2022-09-28,101.464,104.912,99.1985,104.183,850544.3926251
2022-09-29,105.405,106.882,96.3615,97.1495,919898.52600762
2022-09-30,97.1495,100.44,95.5536,98.706,711614.82607848
2022-10-03,98.5089,104.341,95.1596,103.77,1032342.1631912
2022-10-04,105.405,107.867,104.144,106.784,940641.82755239
2022-10-05,116.575,121.482,107.887,108.616,2703608.2650323
2022-10-06,111.296,111.315,106.98,109.877,839870.23114212
2022-10-07,109.345,114.488,107.394,114.488,798312.56848969
2022-10-10,113.187,114.408,111.315,112.97,747202.47031137
2022-10-11,112.793,118.999,110.704,118.999,991313.38671401
2022-10-12,118.999,118.999,112.3,113.088,687791.60005065
2022-10-13,112.3,115.157,109.621,110.389,661033.61407539
2022-10-14,113.285,115.472,111.335,112.064,505750.1966975
2022-10-17,112.793,116.221,111.67,116.201,387245.17879924
2022-10-18,117.422,124.003,116.575,119.413,964981.7581161
2022-10-19,120.831,121.5,116.95,116.95,646981.0779452
2022-10-20,118.21,118.684,115.196,117.147,691173.0201077
2022-10-21,116.221,120.477,115.453,116.831,495222.21488675
2022-10-24,118.21,122.999,117.718,119.196,648576.87270044
2022-10-25,118.703,119.275,115.787,116.497,659210.42871891
2022-10-26,116.497,121.56,115.551,120.634,633639.13744394
2022-10-27,120.634,120.634,116.733,118.31,418855.51778341
2022-10-28,117.718,122.841,116.773,122.151,612568.96190987
2022-10-31,122.151,126.683,120.87,125.204,450033.40857055
2022-11-02,125.599,134.465,124.299,134.189,932345.11601645
2022-11-03,131.017,133.46,128.357,132.238,513481.47714014
2022-11-04,132.987,137.913,131.923,137.105,367076.44457729
2022-11-07,137.893,140.296,131.037,134.248,441056.55550407
2022-11-08,133.973,135.095,129.973,134.051,438056.82681342
2022-11-09,133.677,135.016,131.549,134.287,197071.51604141
2022-11-10,133.873,140.867,132.908,138.7,399916.11399948
2022-11-14,138.898,146.758,138.898,143.39,726635.80253722
2022-11-15,146.778,147.369,141.419,145.301,436113.85533663
2022-11-16,143.33,147.98,142.838,143.016,514948.34954555
2022-11-17,144.867,146.66,141.065,144.651,291569.56818494
2022-11-18,145.143,151.211,142.74,142.838,428601.84440234
2022-11-21,142.542,143.724,133.026,137.203,497186.50423241
2022-11-22,137.913,141.695,135.095,135.884,382796.85016221
2022-11-23,136.73,139.863,135.134,136.533,240234.10967858
2022-11-24,137.913,141.243,137.913,139.272,254361.76591811
2022-11-25,138.898,142.444,137.913,137.913,382222.28283939
2022-11-28,137.913,138.858,135.292,136.454,369117.88430551
2022-11-29,139.902,140.493,126.565,129.52,1299555.5586266
2022-11-30,129.52,132.318,126.801,129.027,767023.01267515
2022-12-01,131.017,132.494,121.56,121.738,1005990.231861
2022-12-02,122.151,127.569,119.433,125.422,611077.72622575
2022-12-05,126.761,130.859,125.599,125.894,468689.58923952
2022-12-06,126.091,129.539,123.806,128.81,395515.49678325
2022-12-07,128.81,128.81,126.17,126.584,293721.65780395
2022-12-08,127.077,127.865,123.235,124.594,271820.08538404
2022-12-09,125.599,130.229,124.614,129.421,269118.80685754
2022-12-12,130.032,134.662,128.062,132.514,254189.19269394
2022-12-13,133.46,137.715,131.805,134.977,314677.12290078
2022-12-14,135.056,140.867,134.347,140.474,413671.21510214
2022-12-15,138.898,138.898,127.963,127.963,928425.67355465
2022-12-16,127.372,132.692,124.772,130.663,900405.87276975
2022-12-19,131.017,131.588,126.289,126.821,290746.292392
2022-12-20,125.304,127.589,124.772,126.091,202578.63216554
