Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-01-29,19.48,20.05,19.48,20.05,159549
2021-02-01,20.05,20.6,19.81,20.6,417007
2021-02-02,20.96,21.03,20.96,20.97,67508
2021-02-03,20.97,21.03,20.32,20.32,66717
2021-02-04,20,20,19.8,19.8,217645
2021-02-05,19.51,19.51,19.48,19.5,529490
2021-02-08,19.5,19.99,19.5,19.5,37088
2021-02-09,19.2,19.2,19.15,19.2,135280
2021-02-10,19.2,19.34,19.16,19.23,84424
2021-02-11,19.32,19.43,19.32,19.4,472512
2021-02-12,19.4,19.55,19.2,19.38,215112
2021-02-16,19.26,19.26,19.21,19.23,16738
2021-02-17,19.58,19.65,19.58,19.58,30501
2021-02-18,20.23,20.33,20.23,20.33,16302
2021-02-19,20.38,20.71,20.38,20.48,36801
2021-02-22,20.71,20.82,20.71,20.82,50588
2021-02-23,20.71,20.71,19.36,19.4,28425
2021-02-24,19.4,19.42,19.16,19.29,47949
2021-02-25,18.18,18.18,18.18,18.18,752
2021-02-26,18.18,18.28,18.15,18.15,252965
2021-03-01,18.72,18.88,18.72,18.72,52202
2021-03-02,18.6,18.6,18.35,18.39,3520
2021-03-03,18.54,18.92,18.54,18.92,168545
2021-03-04,18.34,18.34,18.34,18.34,6294
2021-03-05,16.83,16.83,16.59,16.75,223610
2021-03-08,16.75,17.22,16.32,16.32,18269
2021-03-09,16.1,16.1,15.39,15.67,564313
2021-03-10,15.67,15.93,15.42,15.71,1530832
2021-03-11,16,16.08,16,16.08,1030
2021-03-12,16.06,16.06,16.05,16.05,97228
2021-03-15,16.7,17.04,16.7,16.83,236330
2021-03-16,17.18,17.8,17.18,17.58,42977
2021-03-17,17.58,18.09,17.32,17.78,15641
2021-03-18,17.78,17.8,17.46,17.46,390
2021-03-19,17.46,17.54,17.44,17.48,4213
2021-03-22,17.48,17.72,17.31,17.56,54
2021-03-23,17.56,17.86,17.35,17.6,8120
2021-03-24,16.87,16.87,14.92,15.57,9953
2021-03-25,15.56,15.56,14.09,14.76,318836
2021-03-26,14.68,14.68,14.23,14.53,184709
2021-03-29,14.53,14.76,14.25,14.6,6861
2021-03-30,14.6,15.15,14.38,14.59,310024
2021-03-31,14.38,14.38,13.81,14.05,805001
2021-04-01,14.05,14.83,13.98,14.75,22745
2021-04-06,15.17,15.38,15.17,15.25,163864
2021-04-07,15.25,15.46,15.14,15.36,69591
2021-04-08,15.39,15.73,15.39,15.47,339163
2021-04-09,15.61,16.52,15.61,16.11,29522
2021-04-12,16.34,16.77,16.34,16.39,12103
2021-04-13,16.54,16.96,16.54,16.83,571087
2021-04-14,16.83,17,16.64,16.79,11312
2021-04-15,16.74,16.74,16.23,16.39,81418
2021-04-16,16.39,16.5,16.26,16.46,351796
2021-04-19,16.43,16.43,15.59,15.75,21395
2021-04-20,15.44,15.44,15.14,15.38,19598
2021-04-21,15.39,15.54,15.39,15.48,60064
2021-04-22,15.47,15.47,15.09,15.4,36280
2021-04-23,15.4,15.51,15.24,15.39,181527
2021-04-26,15.43,15.47,15.43,15.47,7584
2021-04-27,15.42,15.42,15.22,15.36,16142
2021-04-28,15.36,15.57,15.28,15.36,52025
2021-04-29,15.44,15.79,15.44,15.74,641789
2021-04-30,15.89,15.97,15.89,15.89,10190
2021-05-03,15.89,15.98,15.85,15.92,17194
2021-05-04,15.79,15.79,15.4,15.74,13378
2021-05-05,15.53,15.53,15.48,15.5,11966
2021-05-06,15.5,15.54,15.24,15.24,8566
2021-05-07,15.24,15.39,15.2,15.34,12924
2021-05-10,15.65,15.78,15.65,15.75,3851
2021-05-11,15.75,15.76,15.07,15.25,487621
2021-05-12,15.25,15.63,14.47,15.2,115986
2021-05-13,14.31,14.31,13.67,13.8,23279
2021-05-14,13.53,13.53,13.14,13.49,15985
2021-05-17,13.61,14.12,13.61,13.94,135851
2021-05-18,14.11,14.41,14.11,14.38,26505
2021-05-19,14.38,14.89,14.28,14.66,76396
2021-05-20,14.66,15.2,14.53,14.87,43914
2021-05-21,14.87,15.12,14.87,15.03,434799
2021-05-24,15.08,15.48,15.08,15.36,21596
2021-05-25,15.36,15.45,15.16,15.37,18563
2021-05-26,15.08,15.08,14.9,14.97,16366
2021-05-27,14.97,15.34,14.97,15.32,49702
2021-05-28,15.45,15.95,15.45,15.45,22203
2021-05-31,16.22,16.45,16.22,16.22,11766
2021-06-01,16.22,16.32,16.01,16.13,17073
2021-06-02,16.34,16.47,16.34,16.47,24865
2021-06-03,16.47,16.59,16.07,16.15,41117
2021-06-04,15.95,15.95,15.78,15.83,8041
2021-06-07,15.83,16,15.81,15.81,438689
2021-06-08,15.81,15.87,15.44,15.75,695111
2021-06-09,15.75,15.78,15.54,15.78,149380
2021-06-10,15.78,15.99,15.7,15.8,1076817
2021-06-11,15.8,15.82,15.13,15.48,1481236
2021-06-14,15.48,15.67,15.28,15.31,125693
2021-06-15,15.31,15.59,15.27,15.47,153454
2021-06-16,15.5,15.73,15.5,15.61,241717
2021-06-17,15.36,15.36,15.07,15.11,1364200
2021-06-18,15.11,15.16,14.52,14.61,857182
