Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,124.465,126.183,124.465,125.348,90675.792291576
2023-01-03,125.791,129.669,125.791,128.147,598216.23006966
2023-01-04,128.638,130.455,126.724,130.111,530143.95622132
2023-01-05,129.62,136.199,128.589,134.039,618217.83872633
2023-01-09,138.949,145.43,138.458,145.43,1204445.9349379
2023-01-10,144.252,148.131,141.404,148.131,948551.41709985
2023-01-11,149.161,151.911,146.608,147.836,813386.53171811
2023-01-12,148.081,151.911,147.099,148.376,689847.2440363
2023-01-13,148.277,151.617,147.492,151.028,517346.22616743
2023-01-16,151.224,151.469,146.314,147.59,544387.75746773
2023-01-17,146.412,149.063,145.282,146.167,627186.5352
2023-01-18,148.277,150.978,146.56,149.898,704367.02084129
2023-01-19,146.903,146.903,141.208,143.761,915920.10778843
2023-01-20,144.35,145.479,141.895,141.895,427342.55147238
2023-01-23,143.368,148.425,143.368,145.135,686608.85925303
2023-01-24,147.051,149.848,144.35,146.019,631784.43057625
2023-01-25,145.332,148.327,144.3,145.479,460005.42994365
2023-01-26,147.295,148.277,146.019,146.56,410201.51604093
2023-01-27,147.001,147.541,143.564,143.564,412575.31318867
2023-01-30,143.172,143.172,140.078,141.11,581596.59495552
2023-01-31,139.93,140.421,136.642,138.115,1075859.6551222
2023-02-01,138.458,139.538,135.757,136.347,566371.09467417
2023-02-02,137.525,142.288,135.708,138.9,1094034.3259483
2023-02-03,137.476,137.476,132.763,135.266,908791.58782525
2023-02-06,133.548,134.53,131.388,132.468,628103.05919527
2023-02-07,133.548,136.249,132.272,135.855,619055.949002
2023-02-08,137.869,138.9,135.462,135.462,399739.90381497
2023-02-09,137.525,138.458,135.659,136.249,416639.58792767
2023-02-10,135.659,135.659,130.405,131.24,727605.99592124
2023-02-13,132.419,132.665,128.638,130.749,410885.85395739
2023-02-14,130.994,132.517,129.62,131.339,356515.61383827
2023-02-15,129.62,131.29,128.245,130.209,280076.49427315
2023-02-16,131.585,132.91,129.768,131.585,294306.03847964
2023-02-17,131.093,132.419,129.423,130.994,398371.22798204
2023-02-20,131.683,135.659,131.683,134.236,327940.43238588
2023-02-21,134.53,134.53,130.994,133.156,310384.92443657
2023-02-22,131.977,131.977,124.907,126.183,681470.21471958
2023-02-23,126.183,128.393,125.692,126.036,526300.66560117
