Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,10123.3,10170.8,9923.65,10056.8,648.04865543174
2023-01-03,10009.3,10446.5,9914.23,10446.5,3117.1561137082
2023-01-04,10427.5,10456,10218.4,10417.9,2655.3162440093
2023-01-05,10427.5,10826.7,10322.9,10636.6,2285.0027266197
2023-01-09,10769.7,11187.9,10532,11149.9,2787.8716508021
2023-01-10,11026.3,12005.4,10760.2,11910.4,4936.1108624768
2023-01-11,11416.1,11843.8,10807.7,10874.3,6258.5088492912
2023-01-12,10826.7,10826.7,10170.8,10218.4,10599.172408238
2023-01-13,10180.4,10265.9,9999.73,10018.8,3786.2453099007
2023-01-16,10018.8,10256.4,10018.8,10218.4,6171.190605134
2023-01-17,10218.4,10218.4,9904.7,10028.3,4278.5939637027
2023-01-18,10104.3,10189.9,9838.14,10075.8,5824.0216825813
2023-01-19,10018.8,10028.3,9705.07,9923.65,3102.4277351756
2023-01-20,9923.65,10094.8,9885.66,10075.8,2231.3493476797
2023-01-23,10113.8,10132.9,9895.18,10085.3,2268.1702940111
2023-01-24,10028.3,10066.3,9914.23,9990.21,2212.412860995
2023-01-25,9961.74,10028.3,9800.13,9866.71,1812.6425865404
2023-01-26,9819.1,9942.7,9809.63,9876.14,2618.4952976779
2023-01-27,9790.63,9885.66,9610.02,9885.66,3859.8872025634
2023-01-30,9885.66,9885.66,9667.05,9714.58,1687.4513690138
2023-01-31,9695.57,9705.07,9505.46,9619.52,5288.5399202197
2023-02-01,9572,9686.06,9415.16,9591,2707.9175959112
2023-02-02,9610.02,9914.23,9552.98,9771.61,2892.0223275679
2023-02-03,9724.09,9904.7,9657.55,9838.14,2850.9932730844
2023-02-06,9838.14,9838.14,9600.52,9619.52,2098.7939408869
2023-02-07,9619.52,9657.55,9552.98,9619.52,1908.3770470019
2023-02-08,9629.03,9705.07,9552.98,9600.52,2098.7939408869
2023-02-09,9533.98,9629.03,9533.98,9591,1825.2669109969
2023-02-10,9533.98,9533.98,9144.25,9177.52,4446.9182897889
2023-02-13,9153.75,9448.43,9039.69,9353.37,2296.5750240381
2023-02-14,9353.37,9472.19,9229.8,9310.59,1835.7871813772
2023-02-15,9305.84,9514.96,9244.06,9476.95,1559.1040703731
2023-02-16,9457.93,9457.93,9229.8,9362.88,2060.9209675175
2023-02-17,9248.81,9514.96,9144.25,9491.2,1518.0750158896
2023-02-20,9543.48,9543.48,9348.62,9415.16,2334.4479974075
2023-02-21,9334.36,9524.47,9153.75,9391.39,1770.5615050189
2023-02-22,9125.25,9405.65,8982.66,9125.25,3175.0176008003
2023-02-23,9087.22,9158.51,9001.67,9044.44,2300.7831321903
2023-02-24,9077.71,9077.71,8939.89,8968.41,1619.0696115413
2023-02-27,8968.41,9234.55,8849.59,9110.98,1569.6243407535
2023-02-28,9030.18,9082.46,8849.59,8954.14,3496.9378744401
2023-03-01,8935.13,9144.25,8811.56,9134.75,2340.7601596357
2023-03-02,9030.18,9258.32,8906.62,8973.16,2484.887863847
2023-03-03,8944.64,9248.81,8944.64,9172.77,2420.7142145267
2023-03-06,9172.77,9448.43,9153.75,9324.86,1735.8446127636
2023-03-07,9267.82,9500.71,9177.52,9315.35,1724.2723153452
2023-03-08,9310.59,9362.88,9163.27,9329.61,1633.7979900738
2023-03-09,9400.9,9415.16,9063.46,9063.46,2340.7601596357
2023-03-10,9020.68,9034.94,8859.09,8963.64,2650.0561088191
