Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-07-02,44.1,66.15,41,57.39,330315
2024-07-03,59.95,71.94,58.11,63,242632
2024-07-04,63.2,63.2,55.22,56.98,107300
2024-07-05,56,60,54.51,54.52,55234
2024-07-08,54.45,57.8,49.59,50.7,54818
2024-07-09,50.7,50.7,44.5,46.3,61281
2024-07-10,46.3,49.8,45.505,48,28704
2024-07-11,48.8,51.4,47.71,47.9,25437
2024-07-12,48.93,49.3,47.1,47.465,7390
2024-07-15,47.985,48.8,46.65,46.65,6821
2024-07-16,46.625,47.405,45.03,45.51,6401
2024-07-17,45,46.2,43.8,44.31,10433
2024-07-18,44.315,45,42.54,43.15,8590
2024-07-19,42.78,45.51,41.5,45.095,12545
2024-07-22,45.4,46.28,44.52,44.855,3146
2024-07-23,45.48,46,44.54,45.9,2138
2024-07-24,45.795,48.78,45.55,47.76,5905
2024-07-25,47.68,47.75,44,46.94,4576
2024-07-26,46.78,46.78,43.52,44,7268
2024-07-29,44,46.4,43.81,44.135,3393
2024-07-30,44.495,45.455,43.255,44.08,1837
2024-07-31,44.08,44.15,43,43.4,1800
2024-08-01,43.65,43.825,40.115,42.65,6391
2024-08-02,42.36,42.36,39.075,39.45,10803
2024-08-05,39.3,39.3,35,36.7,16412
2024-08-06,36.98,37.6,36.9,37.435,5317
2024-08-07,37.435,37.7,37,37,2451
2024-08-08,37.56,37.56,35.95,36.76,3391
2024-08-09,36.99,38,36.81,37.775,2014
2024-08-12,38,38.995,37.775,37.775,3108
2024-08-13,38.595,38.6,37.72,38,1275
2024-08-14,38.59,38.59,37.125,37.3,1833
2024-08-16,37.8,38.4,37.2,37.2,2343
2024-08-19,37.9,37.9,36.5,37,3425
2024-08-20,37.695,37.695,37.005,37.4,551
2024-08-21,37.4,37.78,37,37,980
2024-08-22,37.4,37.475,36.8,36.8,1207
2024-08-23,37.1,38,36.575,37.8,1636
2024-08-26,37.8,38.15,37.055,38.095,1416
2024-08-27,38.095,40.9,38.01,39.6,5682
2024-08-28,39.84,39.86,39,39.71,693
2024-08-29,39.71,39.76,38.1,39,1257
2024-08-30,39.2,39.6,39,39.595,327
2024-09-02,40,41.7,39.595,41.7,4060
2024-09-03,41.9,43.3,40.7,42.29,3459
2024-09-04,42.26,42.27,40,40.985,1178
2024-09-05,40.985,41.5,40,40,1079
2024-09-06,40.865,41.2,39.845,40.58,1116
2024-09-09,41,41.2,40.015,40.025,536
2024-09-10,40.445,41.3,39.8,40.4,1405
2024-09-11,40.6,40.69,39.15,40.135,1341
2024-09-12,40.13,40.175,39.8,40,495
2024-09-13,40,40,39.71,39.71,410
2024-09-16,39.71,40,38.12,39,1503
2024-09-17,38.9,39.195,38.42,38.94,1036
2024-09-18,38.7,39.175,38.42,39.1,820
2024-09-19,39.1,39.1,38.66,38.7,259
2024-09-20,38.7,38.88,38.42,38.42,701
2024-09-23,38.42,40.25,38.2,39.15,1522
2024-09-24,39.15,40,39.15,39.4,582
2024-09-25,39.4,39.9,39,39.6,517
2024-09-26,39.7,40,38.52,38.6,925
2024-09-27,39.2,39.78,38.8,39.78,927
2024-09-30,38.865,39.385,38.815,39.13,378
2024-10-01,39.01,39.5,38.84,39.49,1214
2024-10-02,39.49,40,39.02,39.13,448
2024-10-03,39.1,39.67,39.02,39.03,578
2024-10-04,39.14,39.48,39.03,39.4,331
2024-10-07,39.44,39.44,38.84,39.29,796
2024-10-08,39.18,39.18,38.85,38.96,275
2024-10-09,38.94,39.3,38.84,38.84,855
2024-10-10,38.995,38.995,38.5,38.99,615
2024-10-11,38.99,38.99,38.5,38.985,436
2024-10-14,38.985,39.19,38.515,38.9,599
