Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,6.886,6.95,6.842,6.92,714676
2023-01-03,6.93,7.102,6.8,6.832,2416881
2023-01-04,6.9,6.976,6.85,6.946,1963265
2023-01-05,6.97,6.988,6.844,6.898,3152730
2023-01-09,6.91,7.02,6.58,6.7,7120050
2023-01-10,6.7,6.736,6.564,6.668,3319338
2023-01-11,6.68,6.936,6.68,6.81,4346674
2023-01-12,6.868,7.022,6.868,6.974,3703057
2023-01-13,6.978,7.054,6.896,6.92,2263715
2023-01-16,6.94,6.994,6.734,6.916,2036451
2023-01-17,6.89,7,6.864,6.95,1706358
2023-01-18,6.95,7.298,6.9,7.218,3435502
2023-01-19,7.2,7.32,7.022,7.306,3435950
2023-01-20,7.34,7.38,7.16,7.26,1583575
2023-01-23,7.26,7.48,7.188,7.47,1893020
2023-01-24,7.5,7.92,7.49,7.584,3306317
2023-01-25,7.6,7.64,7.34,7.442,1747278
2023-01-26,7.61,7.628,7.42,7.554,1433689
2023-01-27,7.55,7.626,7.48,7.56,1517697
2023-01-30,7.56,7.624,7.382,7.59,1799554
2023-01-31,7.59,7.676,7.46,7.488,2628332
2023-02-01,7.5,7.554,7.03,7.03,3416878
2023-02-02,7.25,7.4,7.076,7.118,2613193
2023-02-03,7.232,7.232,6.976,6.986,1454778
2023-02-06,7.016,7.028,6.74,6.77,2491602
2023-02-07,6.8,6.88,6.682,6.8,1484858
2023-02-08,6.89,6.94,6.766,6.872,1488957
2023-02-09,6.92,6.97,6.826,6.916,1205183
2023-02-10,6.95,6.95,6.702,6.85,2226711
2023-02-13,6.88,6.906,6.674,6.736,2165491
2023-02-14,6.75,6.828,6.712,6.766,1280195
2023-02-15,6.818,6.818,6.684,6.752,783161
2023-02-16,6.822,6.876,6.7,6.766,1146317
2023-02-17,6.76,6.898,6.704,6.898,1969089
2023-02-20,6.89,6.92,6.82,6.92,660309
2023-02-21,6.95,6.95,6.71,6.772,1152614
2023-02-22,6.802,6.802,6.628,6.686,2209714
2023-02-23,6.752,6.77,6.654,6.758,986388
2023-02-24,6.8,6.8,6.574,6.624,1308306
2023-02-27,6.66,6.706,6.61,6.66,661475
2023-02-28,6.66,6.736,6.568,6.68,3168714
2023-03-01,6.74,6.84,6.708,6.74,1333904
2023-03-02,6.712,6.712,6.444,6.444,3212237
2023-03-03,6.42,6.458,6.23,6.36,3525758
2023-03-06,6.4,6.618,6.37,6.606,2204701
2023-03-07,6.61,6.744,6.56,6.644,1912007
2023-03-08,6.69,6.69,6.42,6.516,2618158
2023-03-09,6.532,6.69,6.51,6.624,2578860
2023-03-10,6.52,6.582,6.382,6.506,2233584
2023-03-13,6.542,6.578,6.25,6.336,2148660
2023-03-14,6.31,6.33,6.132,6.166,2766490
2023-03-15,6.238,6.316,6.06,6.104,1925737
2023-03-16,6.12,6.184,5.85,6.044,2563529
2023-03-17,6.12,6.176,5.83,5.86,4849932
2023-03-20,5.94,5.986,5.756,5.982,1698396
2023-03-21,6.048,6.252,5.996,6.212,2114630
2023-03-22,6.212,6.23,6.082,6.14,1748375
2023-03-23,6.15,6.25,6.026,6.23,1263103
2023-03-24,6.202,6.228,5.99,6.056,2691345
2023-03-27,6.12,6.15,5.952,6.016,757932
2023-03-28,6.05,6.136,5.972,6.008,1141827
2023-03-29,6.09,6.09,5.896,6,1654930
2023-03-30,6,6.45,5.952,6.394,2812798
2023-03-31,6.448,6.448,6.244,6.276,2434715
2023-04-03,6.28,6.392,6.236,6.26,1650438
2023-04-04,6.29,6.33,6.188,6.216,1473545
2023-04-05,6.218,6.31,6.182,6.22,1520014
2023-04-06,6.22,6.278,6.192,6.244,1069806
2023-04-11,6.3,6.448,6.26,6.448,2666630
2023-04-12,6.442,6.476,6.286,6.434,2175795
2023-04-13,6.4,6.53,6.33,6.47,2327503
2023-04-14,6.528,6.856,6.498,6.618,3891973
2023-04-17,6.72,6.742,6.504,6.66,2884238
2023-04-18,6.662,6.798,6.552,6.752,1782767
2023-04-19,6.786,6.786,6.6,6.69,1496085
2023-04-20,6.74,6.936,6.732,6.792,3214236
2023-04-21,6.798,6.814,6.668,6.686,1651532
2023-04-24,6.728,6.81,6.58,6.76,1709318
2023-04-25,6.79,6.92,6.7,6.85,2032200
2023-04-26,6.77,6.91,6.666,6.726,1937529
2023-04-27,6.784,6.886,6.716,6.838,1201297
2023-04-28,6.9,6.914,6.78,6.878,1634515
2023-05-02,6.878,7.024,6.85,6.898,1614229
2023-05-04,6.958,6.958,6.602,6.642,3524195
2023-05-05,6.72,6.79,6.616,6.746,1180949
2023-05-08,6.75,7.1,6.746,7.056,3385525
2023-05-09,7.03,7.048,6.88,6.94,1445459
2023-05-10,7.078,7.308,7.026,7.248,3343443
2023-05-11,7.25,7.356,7.152,7.166,1775198
2023-05-12,7.202,7.33,7.124,7.302,2331820
2023-05-15,7.56,7.63,7.332,7.4,3304255
2023-05-16,7.43,7.56,7.388,7.482,1459197
2023-05-17,7.48,7.484,7.06,7.06,3207394
2023-05-18,7.188,7.23,6.924,6.956,2549904
2023-05-19,6.97,7.156,6.97,7.12,2102498
2023-05-22,7.136,7.462,7.08,7.394,3732784
2023-05-23,7.442,7.52,7.354,7.404,1362237
2023-05-24,7.398,7.45,7.274,7.292,1992599
2023-05-25,7.292,7.292,7.036,7.128,1896335
2023-05-26,7.19,7.202,7.066,7.15,1928475
2023-05-29,7.15,7.244,7.11,7.2,791288
2023-05-30,7.13,7.132,6.88,6.88,2819077
2023-05-31,6.96,6.966,6.716,6.716,6084266
2023-06-01,6.75,6.99,6.732,6.968,1944895
2023-06-02,7,7.126,6.972,7.094,2920406
2023-06-05,7.13,7.37,7.084,7.23,2636934
2023-06-06,7.184,7.35,6.95,7.32,4716336
2023-06-07,7.22,7.258,7.07,7.15,2347320
2023-06-09,7.2,7.24,7.134,7.14,2127902
2023-06-12,7.198,7.278,7.072,7.15,2739216
2023-06-13,7.15,7.21,7.066,7.08,2317086
2023-06-14,7.13,7.35,7.114,7.284,3122703
2023-06-15,7.28,7.49,7.22,7.44,3420994
2023-06-16,7.44,7.55,7.392,7.518,14891114
2023-06-19,7.53,7.66,7.456,7.508,1440734
2023-06-20,7.45,7.498,7.35,7.408,1220329
2023-06-21,7.41,7.494,7.314,7.36,2043496
2023-06-22,7.36,7.434,7.14,7.15,2278552
2023-06-23,7.13,7.24,7.072,7.176,2189362
2023-06-26,7.19,7.286,7.12,7.278,1124844
2023-06-27,7.28,7.29,7.104,7.142,1785221
