Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-02,30.2411,30.3265,29.421,29.5663,800474.5142667
2023-01-03,29.515,29.9848,29.2758,29.7627,2137321.8889145
2023-01-04,29.7799,30.6597,29.7627,30.6255,2977242.9691417
2023-01-05,30.6255,31.0954,30.1643,30.5401,2950365.0357029
2023-01-09,30.822,31.2662,30.711,31.2662,4787449.1353169
2023-01-10,31.2662,31.6251,30.9331,31.5397,2871770.4044143
2023-01-11,31.6079,32.0351,31.2834,31.4371,2739884.6307625
2023-01-12,31.3773,32.0693,31.0698,31.1979,3675276.7486365
2023-01-13,31.1808,31.403,30.7281,30.9587,2205106.1149372
2023-01-16,30.8733,31.104,30.5401,30.9331,3547600.4192008
2023-01-17,30.7623,31.121,30.2241,30.617,4077082.0120345
2023-01-18,30.5828,31.0014,30.3522,30.4547,4658466.4266417
2023-01-19,30.412,31.0783,30.1301,31.01,2630539.7519453
2023-01-20,31.0954,31.4542,30.8733,31.3944,1426866.9713282
2023-01-23,31.5225,31.7874,31.1125,31.6507,1710963.4852404
2023-01-24,31.7703,31.7703,31.1381,31.2919,926588.10509607
2023-01-25,31.1808,31.4115,30.6682,30.9929,1781344.0814722
2023-01-26,31.1808,31.5909,31.1552,31.4457,934679.2281277
2023-01-27,31.5567,31.5994,30.9245,31.1894,1649679.5494656
2023-01-30,31.1808,31.2321,30.7024,31.1894,1737473.8531942
2023-01-31,31.0954,31.4286,30.8648,31.3688,2108939.746405
2023-02-01,31.4371,31.702,31.1296,31.3261,2387657.3959754
2023-02-02,31.5311,32.018,31.3261,31.7532,2556619.2893873
2023-02-03,31.7788,32.018,31.5055,31.7788,1169300.725412
2023-02-06,31.6934,31.8472,30.4547,30.6341,1812038.1406464
2023-02-07,30.6682,30.9245,30.4547,30.6939,1325089.9614924
2023-02-08,30.7708,31.0698,30.6085,30.6939,1200097.7965693
2023-02-09,30.899,31.3346,30.7879,31.0698,1152712.2843702
2023-02-10,30.9844,31.01,30.019,30.1472,1449005.1829564
2023-02-13,30.2753,30.8391,30.1557,30.7964,1767668.0701326
2023-02-14,30.8391,30.8391,30.3693,30.5145,1233282.8727881
2023-02-15,30.6255,30.916,30.3607,30.899,835375.67647562
2023-02-16,30.8477,30.9417,30.1216,30.9245,1551018.6521169
2023-02-17,30.8306,31.1381,30.5316,30.8391,1554531.5948567
2023-02-20,30.7537,30.8818,30.3437,30.5145,1110281.8826735
2023-02-21,30.412,30.5487,29.8226,30.4034,1311431.5090136
2023-02-22,30.3265,30.4291,29.7457,29.9336,1264335.1327215
2023-02-23,29.9336,30.805,29.8994,30.7623,1135854.6074636
2023-02-24,30.8391,31.1381,30.6854,30.9331,1186129.1375507
2023-02-27,30.9245,31.01,30.6427,30.916,982844.35374393
2023-02-28,30.899,31.2919,30.7537,31.2834,2012431.5653837
2023-03-01,31.3089,31.5055,31.0954,31.403,1061464.7380283
2023-03-02,31.3858,31.3858,30.8306,30.8733,1020613.463208
2023-03-03,31.0186,31.2321,30.7793,31.2321,470158.3965089
2023-03-06,31.3176,32.1205,31.2748,32.001,2358111.686294
2023-03-07,31.9668,32.1205,31.6421,31.6421,1299672.9252676
2023-03-08,31.6507,31.8215,31.3944,31.719,1146220.1882571
2023-03-09,31.6934,31.7276,31.2662,31.4713,990421.58745106
2023-03-10,31.1808,31.2492,30.2668,30.4376,1435625.3310682
2023-03-13,30.207,30.7537,29.3955,29.7713,1742404.3812916
2023-03-14,29.7627,29.7627,28.7889,29.1306,2586923.541853
2023-03-15,29.1733,29.5321,28.1054,28.3447,2050689.9817672
2023-03-16,28.6522,28.8402,27.4477,28.1226,2417451.2708889
