Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-05-06,15.1578,15.5676,14.6905,15.4119,511411.67688023
2022-05-09,15.5185,15.5185,14.6331,14.6331,222892.22994276
2022-05-10,14.8463,15.3873,14.7069,15.3873,376669.72963085
2022-05-11,15.3053,15.4938,15.084,15.2151,117956.9936091
2022-05-12,15.125,15.3873,14.8872,15.125,203601.73162392
2022-05-13,15.4775,15.83,15.2644,15.8136,235954.24183086
2022-05-16,15.8956,16.1251,15.6004,15.6825,253627.23662303
2022-05-17,15.789,16.2726,15.7808,16.1006,529488.4376357
2022-05-18,16.1497,16.1907,15.6169,15.6578,187893.89383134
2022-05-19,15.5103,16.0841,15.4447,15.9612,156281.8245299
2022-05-20,15.9038,16.2973,15.871,16.2809,194520.04704166
2022-05-23,16.3054,16.6744,16.2809,16.3547,247807.39550255
2022-05-24,16.3628,16.6088,16.3137,16.5104,129622.29242175
2022-05-25,16.5432,16.5432,16.2645,16.2809,80209.145469682
2022-05-26,16.3137,16.6907,16.3137,16.6251,89254.234949527
2022-05-27,16.6907,16.6907,16.3875,16.6907,130705.50745318
2022-05-30,16.7235,16.9039,16.6088,16.6088,124836.87286281
2022-05-31,16.8056,16.8383,16.4612,16.74,151054.82406852
2022-06-01,16.8056,16.8219,16.1661,16.3382,169976.93168974
2022-06-02,16.3956,16.6088,16.2317,16.5923,143369.85256171
2022-06-03,16.6088,16.6088,16.1579,16.3054,189881.00789239
2022-06-06,16.2481,16.4612,16.2317,16.3875,103819.08571006
2022-06-07,16.2481,16.3875,16.2317,16.2317,93604.172789732
2022-06-08,16.2317,16.2891,15.9038,15.9529,136692.46620802
2022-06-09,15.9038,16.2481,15.83,16.1579,183208.50088568
2022-06-10,16.0185,16.1087,15.5431,15.707,248824.73934964
2022-06-13,15.6415,15.9694,15.3463,15.871,319803.38015392
2022-06-14,16.0431,16.74,15.9119,16.6744,564195.23276456
2022-06-15,16.4448,16.7235,16.3382,16.6744,218730.14696162
2022-06-17,16.6907,17.7073,16.6907,16.9039,762250.36669935
2022-06-20,17.117,17.3957,16.9367,17.0514,214898.63973893
2022-06-21,17.0187,17.0514,16.6744,16.7891,118161.92618261
2022-06-22,17.0351,17.0351,16.4612,16.6579,121506.7185432
2022-06-23,16.6416,16.7728,16.3137,16.6744,138384.37977625
2022-06-24,16.6416,16.6416,16.3628,16.3956,66107.832673054
2022-06-27,16.4448,16.9203,16.3956,16.4448,108350.77922559
2022-06-28,16.4612,16.74,16.2317,16.371,179114.72876237
2022-06-29,16.3875,16.9859,16.3219,16.9695,257229.41453726
2022-06-30,16.9531,17.2974,16.7563,16.9203,146346.25422467
2022-07-01,17.0187,17.2154,16.6416,17.1335,225801.54058464
2022-07-04,17.2154,17.6909,17.1007,17.5761,374981.47557284
2022-07-05,17.6253,17.8713,16.9367,17.2646,296661.85722443
2022-07-06,17.445,17.4778,17.0679,17.2154,145176.43078418
2022-07-07,17.3794,17.7237,17.2319,17.6909,151143.87215107
2022-07-08,17.7729,17.8713,17.5269,17.8385,151952.6239144
2022-07-11,17.8548,18.0352,17.5925,17.9532,151807.4633415
2022-07-12,17.9369,18.4451,17.7073,18.1008,248943.06351411
2022-07-13,18.0188,18.1992,17.5433,17.822,193552.7165012
2022-07-14,17.8713,18.0024,17.6581,17.9369,88289.34408256
2022-07-15,18.0024,18.15,17.445,17.7401,151753.79052462
2022-07-18,17.6253,17.7892,17.3629,17.7892,184998.0013937
2022-07-19,17.8385,18.0516,17.5106,17.8385,156087.87048712
2022-07-20,17.8548,17.9697,17.3466,17.5433,282338.53413984
2022-07-21,17.5433,18.1008,17.3957,18.0844,232680.2000016
2022-07-22,18.232,18.527,17.8876,18.4942,170911.32663803
2022-07-25,18.5763,19.0517,18.068,18.1172,353457.45617003
2022-07-26,18.3139,18.7402,18.1664,18.6747,209306.90809017
2022-07-27,19.1173,19.2649,17.5433,17.7073,1287429.1211075
2022-07-28,17.6417,18.15,17.2974,17.9204,468234.33537941
2022-07-29,17.7073,17.8713,17.2319,17.5106,469848.17939583
2022-08-01,17.3957,17.7892,17.3302,17.5925,217504.21103077
2022-08-02,17.5106,18.0188,17.5106,17.7729,210194.94924206
2022-08-03,17.6417,17.986,17.4941,17.8713,269199.67253668
2022-08-04,17.9369,18.0188,17.7401,17.9369,145732.67634087
2022-08-05,17.9204,18.2483,17.6909,17.7237,143536.97019606
2022-08-08,17.6417,17.8713,17.3794,17.6253,154691.15741167
2022-08-09,17.5433,18.1172,17.4778,17.8385,179051.29725152
2022-08-10,17.8713,17.8713,17.5269,17.6253,92888.128619177
2022-08-11,17.6253,17.7073,17.3466,17.6745,191370.42856061
2022-08-12,17.6745,17.9532,17.6417,17.7073,122885.13406743
2022-08-16,17.6581,18.2811,17.5925,18.0352,651773.41202356
2022-08-17,18.1172,18.1992,17.7401,18.0352,790251.71922934
2022-08-18,17.9204,18.5926,17.9204,18.527,252700.16069523
2022-08-19,18.6091,18.7238,18.3795,18.6747,232213.00252745
2022-08-22,18.5598,18.5598,17.7892,17.8057,221798.0363806
2022-08-23,17.8713,18.1008,17.8057,18.068,117963.09279283
2022-08-24,18.068,18.068,17.6089,17.7564,139594.4578294
2022-08-25,17.7401,18.0024,17.7401,17.9204,65536.949075404
2022-08-26,17.9204,17.9204,17.4941,17.5433,153483.51903202
2022-08-29,17.4285,17.7729,17.1663,17.6581,183963.57983214
2022-08-30,17.6581,17.6745,17.2974,17.3629,162420.04304138
2022-08-31,17.2974,17.9697,17.2974,17.8876,188295.22012115
2022-09-01,17.9204,17.9204,17.3629,17.8876,250572.76540826
2022-09-02,17.9041,17.9041,17.4941,17.7892,120372.27036838
2022-09-05,17.7892,17.9532,17.6089,17.822,99642.364687943
2022-09-06,17.7073,17.7729,17.2154,17.281,110558.68373786
2022-09-07,17.281,17.7401,16.494,17.6745,422123.28650178
2022-09-08,17.7073,17.7729,17.3138,17.4613,109274.19564315
2022-09-09,17.4285,18.068,17.3466,18.068,174024.35001667
2022-09-12,18.1008,18.1336,17.8385,18.0352,89793.40279175
2022-09-13,18.0844,18.1336,17.7401,17.8057,109375.44209315
2022-09-14,17.7892,18.0024,17.7073,17.7237,80034.708814845
2022-09-15,17.8713,17.8713,17.5269,17.6253,134638.26112588
2022-09-16,17.6253,17.9204,17.3957,17.4122,537335.64742987
2022-09-19,17.3466,17.9041,17.3466,17.8713,87225.646439077
2022-09-20,17.6745,18.0844,17.6089,17.6909,248836.93771711
2022-09-21,17.6253,17.9204,17.5597,17.7892,133685.56862638
2022-09-22,17.6745,18.0844,17.5106,18.068,208844.58996301
2022-09-23,18.0352,18.0352,17.4613,17.4613,165046.35155792
2022-09-26,17.3957,17.6253,16.035,16.9695,616556.72513439
2022-09-27,16.8056,17.4613,16.6088,16.9203,208265.16750813
2022-09-28,17.0351,17.3794,16.4612,17.0023,605587.95310435
2022-09-29,16.9531,17.117,16.3628,16.3956,291756.8936643
2022-09-30,16.3956,16.6416,16.035,16.5596,335450.22610915
2022-10-03,16.3956,16.6744,16.3137,16.576,176698.23216633
2022-10-04,16.6744,17.2974,16.6744,17.2154,149311.6773569
2022-10-05,17.2154,17.281,16.8711,16.9531,88844.369802497
2022-10-06,17.0514,17.8385,17.0514,17.7729,202212.33756895
2022-10-07,17.6417,17.7401,17.3466,17.4122,115157.46827447
2022-10-10,17.3794,17.5597,17.1991,17.1991,88778.498618153
2022-10-11,17.1991,17.3794,16.8056,17.3794,163534.97382824
2022-10-12,17.3794,17.3794,17.1007,17.1335,126836.18529134
2022-10-13,17.2974,17.5925,17.2319,17.5925,187821.92346326
2022-10-14,17.6581,17.986,17.6253,17.8713,174175.60977331
2022-10-17,17.8713,18.2647,17.7564,18.1172,152281.97983612
2022-10-18,18.2811,18.9205,18.1992,18.8222,406694.79132429
2022-10-19,18.855,19.1665,18.6419,18.855,159865.70489293
2022-10-20,18.8386,19.4616,18.691,19.4124,217387.10670304
2022-10-21,19.4124,19.4288,18.691,18.9861,282084.80809643
2022-10-24,19.0517,20.1174,19.0517,19.8715,566644.66495276
2022-10-25,19.9043,20.2158,19.6748,19.8879,213949.60674968
2022-10-26,19.9699,20.1502,19.6748,19.6748,338732.80679563
2022-10-27,20.2158,21.0848,20.1502,21.0684,1031115.8039673
2022-10-28,21.0684,21.3635,20.8717,21.0848,310517.9828349
2022-10-31,21.1012,22.4129,20.9864,22.3636,566721.51466783
2022-11-02,22.3145,22.7899,21.7242,22.2161,471171.70226646
2022-11-03,22.0849,22.7736,21.8882,22.544,215926.96211675
2022-11-04,22.6424,22.9375,22.3473,22.7243,291107.94051483
2022-11-07,22.8227,23.4621,22.626,23.1178,478783.48356844
2022-11-08,23.1178,23.6097,22.8392,23.1834,316088.97725897
2022-11-09,23.0851,23.9049,22.9867,23.7573,586963.48564943
2022-11-10,23.7409,24.1671,23.3965,24.0852,314145.77732081
2022-11-14,24.1015,24.3639,23.0851,23.1342,490174.31911299
2022-11-15,23.2162,24.1836,23.0687,23.9705,467804.95284442
