Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-10-17,23,23.44,21.5,21.5,49171275
2024-10-18,21.5,21.58,20.21,21.36,39658608
2024-10-21,20.85,21.28,20.82,21,4456581
2024-10-22,21.18,21.19,19.684,20,16443892
2024-10-23,19.92,19.95,18.512,19.122,12669173
2024-10-24,19.13,19.96,19.12,19.27,5605660
2024-10-25,19.35,19.94,19.27,19.94,4344079
2024-10-28,20,21.46,19.974,21.26,7440809
2024-10-29,21.3,21.95,21,21.9,6690265
2024-10-30,21.9,21.96,20.515,21.34,4654773
2024-10-31,21.02,21.45,20.95,21.45,1969536
2024-11-04,21.435,21.54,21.005,21.5,4909524
2024-11-05,21.9,21.9,21.02,21.2,3744759
2024-11-06,21.05,21.205,20.85,21.02,1278375
2024-11-07,21.02,21.07,20.415,21.01,4350230
2024-11-08,20.7,21,20.465,20.91,1659273
2024-11-12,19.884,20.57,19.874,20.42,6754156
2024-11-13,20.27,20.69,20.105,20.27,5468346
2024-11-14,20.28,20.535,19.304,20.3,4723473
2024-11-15,20,20.1,19.272,19.286,2504083
2024-11-18,19.286,19.48,18.022,18.52,3612515
2024-11-19,18.52,18.75,18.226,18.5,1476844
2024-11-20,19.2,20.1,18.06,18.43,3275714
2024-11-21,18.69,18.9,18.2,18.7,1481364
2024-11-22,18.75,18.808,18.022,18.4,1717992
2024-11-25,18.6,18.644,17.71,17.9,1761790
2024-11-26,17.946,18.52,17.9,18.21,2299095
2024-11-27,18.45,18.684,18.2,18.25,1415077
2024-11-28,18.31,19.558,18.31,19.55,1486366
2024-11-29,19.5,19.65,19.152,19.3,820900
2024-12-02,19.5,19.66,19.288,19.35,1070494
2024-12-03,19.39,19.85,18.93,19.7,1042432
2024-12-04,19.7,20.49,19.69,19.8,1060584
2024-12-05,19.95,20.48,19.95,20.4,3608405
2024-12-06,20.21,20.535,20.18,20.52,906199
2024-12-09,20.5,20.52,19.9,20.04,1978712
2024-12-10,19.95,20.1,19.51,19.58,928398
2024-12-11,19.636,20.04,19.5,19.728,868147
2024-12-12,19.7,19.94,19.51,19.94,1179264
2024-12-13,19.96,20.195,19.83,20.05,1503775
2024-12-16,20.18,20.24,19.804,20.2,686441
2024-12-17,20.2,20.495,20.14,20.38,2500635
2024-12-18,20.38,20.55,20,20.215,853952
2024-12-19,20.005,20.145,19.746,19.85,917787
2024-12-20,19.848,20.04,19.3,19.526,1265405
2024-12-23,19.302,19.55,19.05,19.55,1564644
2024-12-27,19.55,19.552,19.178,19.35,941391
2024-12-30,19.35,19.438,19.122,19.25,787492
2025-01-02,19.25,20.55,19.25,20.49,924949
2025-01-03,20.6,20.98,20.51,20.7,3607184
2025-01-07,20.99,21.67,20.99,21.5,4095050
2025-01-08,21.5,22.24,21.405,21.91,3078848
2025-01-09,21.89,22.39,21.7,22.15,2696252
2025-01-10,22.15,22.46,21.865,22.46,2595619
2025-01-13,22.45,22.46,22.04,22.19,2732540
2025-01-14,22.1,22.415,22.1,22.16,1891710
2025-01-15,22.16,22.755,22.145,22.6,2089944
2025-01-16,22.7,22.95,22.58,22.875,2012052
2025-01-17,22.985,24.745,22.92,24.745,5965569
2025-01-20,24.74,25,23.9,24,3653546
2025-01-21,24,24.22,22.815,23.65,3955785
2025-01-22,23.75,24.285,23.475,24.25,2662041
2025-01-23,24.495,24.495,23.685,23.685,1895132
2025-01-24,23.86,24.03,23.645,23.88,1484973
2025-01-27,23.5,23.95,23.3,23.82,1317769
2025-01-28,23.81,24,23.025,23.625,2009793
2025-01-29,23.625,23.88,23.42,23.8,946076
2025-01-30,23.75,24.23,23.75,24.08,2186245
2025-01-31,24,24.295,23.34,23.34,2985325
2025-02-03,23,23.18,22.04,23.025,1522237
2025-02-04,23.1,23.44,23.045,23.185,1135309
2025-02-05,23.19,23.25,22.52,22.62,1520737
2025-02-06,22.65,23.315,22.41,23.055,1815357
2025-02-07,23,23.245,22.74,22.89,1158467
2025-02-10,22.9,23.595,22.9,23.595,971678
2025-02-11,23.595,23.595,23.2,23.48,874463
2025-02-12,23.9,23.99,22.005,22.7,4100690
2025-02-13,22.79,22.99,22.16,22.35,2314736
2025-02-14,22.67,22.67,22.255,22.42,1922713
2025-02-17,22.58,23.15,22.56,23.1,2474680
2025-02-18,23.15,23.36,22.76,23.195,1599293
2025-02-19,23.2,23.415,22.22,22.77,2213050
2025-02-20,22.77,23,22.41,22.985,1859947
2025-02-21,22.985,23.15,22.705,22.705,1002735
2025-02-24,22.75,22.955,22.225,22.225,1636692
2025-02-25,22.21,23.095,22.12,22.71,1814020
2025-02-26,22.945,23.345,22.81,23.165,2498698
2025-02-27,23.345,23.44,23.02,23.1,2348340
2025-02-28,22.9,23.42,22.71,22.8,29865486
2025-03-03,22.99,22.99,21.805,22.16,3192491
2025-03-04,22,22.23,21.6,21.94,2772609
2025-03-05,22.205,22.495,21.915,22.355,1370847
2025-03-06,22.12,22.58,22.12,22.5,1073585
2025-03-07,22.5,22.795,22.31,22.52,2178253
2025-03-10,22.625,22.755,22.135,22.75,3051819
2025-03-11,22.8,23.32,22.42,22.42,2835920
2025-03-12,22.525,22.71,21.605,21.71,3714375
2025-03-13,21.75,22.22,21.565,22.015,2092087
2025-03-14,22.015,22.52,21.78,22.3,2408579
2025-03-17,22.46,22.48,22.02,22.48,1350613
2025-03-18,22.5,22.66,22.205,22.3,1155307
2025-03-19,22.45,22.54,22.08,22.435,1326817
2025-03-20,22.4,22.58,22,22.02,1460426
2025-03-21,22.105,22.33,21.625,21.625,6831139
2025-03-24,21.69,22.38,21.69,22.38,1923140
