Company,Target Variable,Source Feature,Lag,F_stat,p_value_perm,B_valid,block,T,p_value_perm_bh,significant_perm_bh,Flag
11BIT,Wolumen,Positive,2,14.992843905132814,0.0224438902743142,400,9,200,0.0932668329177057,False,False
11BIT,Wolumen,view_count_Negative,5,11.326701814800405,0.0374064837905236,400,9,200,0.0932668329177057,False,False
11BIT,Wolumen,view_count_Neutral,4,13.47874998874428,0.0224438902743142,400,9,200,0.0932668329177057,False,False
11BIT,Wolumen,view_count_Positive,4,8.809850426066557,0.0399002493765586,400,9,200,0.0932668329177057,False,False
11BIT,Wolumen,retweet_count_Neutral,1,0.3041007762232625,0.3790523690773067,400,9,200,0.5211970074812967,False,False
11BIT,Wolumen,total_views,4,4.851030949787699,0.0423940149625935,400,9,200,0.0932668329177057,False,False
11BIT,Wolumen,sentiment_polarity,1,0.2303100514376327,0.5760598503740648,400,9,200,0.6034912718204489,False,False
11BIT,Wolumen,sentiment_intensity,1,0.379359194432142,0.6034912718204489,400,9,200,0.6034912718204489,False,False
11BIT,Wolumen,amplified_sentiment,1,0.2335099730620038,0.314214463840399,400,9,200,0.5211970074812967,False,False
11BIT,Wolumen,sentiment_divergence,1,1.0742409143004483,0.3341645885286783,400,9,200,0.5211970074812967,False,False
11BIT,Wolumen,engagement_impact,1,0.2498658223162813,0.5685785536159601,400,9,200,0.6034912718204489,False,False
11BIT,Return,Positive,3,2.522725136497208,0.0423940149625935,400,9,200,0.13029925187032407,False,False
11BIT,Return,view_count_Negative,3,9.646804597555052,0.0149625935162094,400,9,200,0.13029925187032407,False,False
11BIT,Return,view_count_Neutral,1,4.164361571870539,0.0324189526184538,400,9,200,0.13029925187032407,False,False
11BIT,Return,view_count_Positive,3,1.1197856510559778,0.2169576059850374,400,9,200,0.34093338083363023,False,False
11BIT,Return,retweet_count_Neutral,1,0.0598901275217605,0.7830423940149626,400,9,200,0.8613466334164589,False,False
11BIT,Return,total_views,3,2.45689390709474,0.0473815461346633,400,9,200,0.13029925187032407,False,False
11BIT,Return,sentiment_polarity,1,0.0182621373223251,0.8827930174563591,400,9,200,0.8827930174563591,False,False
11BIT,Return,sentiment_intensity,1,1.822026709129264,0.1645885286783042,400,9,200,0.3017456359102244,False,False
11BIT,Return,amplified_sentiment,1,1.7069462596432157,0.1197007481296758,400,9,200,0.26334164588528675,False,False
11BIT,Return,sentiment_divergence,1,0.0926874245789954,0.7506234413965087,400,9,200,0.8613466334164589,False,False
11BIT,Return,engagement_impact,1,0.242317086128054,0.5960099750623441,400,9,200,0.8195137157107231,False,False
11BIT,volatility,Positive,2,5.442294560739675,0.0299251870324189,400,9,200,0.06583541147132158,False,False
11BIT,volatility,view_count_Negative,1,11.27660228192566,0.0124688279301745,400,9,200,0.06583541147132158,False,False
11BIT,volatility,view_count_Neutral,2,6.531651261705432,0.0224438902743142,400,9,200,0.06583541147132158,False,False
11BIT,volatility,view_count_Positive,3,2.1033966452225537,0.1172069825436409,400,9,200,0.18418240114000714,False,False
11BIT,volatility,retweet_count_Neutral,1,2.8278364279931028,0.0748129675810473,400,9,200,0.13715710723192007,False,False
11BIT,volatility,total_views,2,8.340004822403921,0.0249376558603491,400,9,200,0.06583541147132158,False,False
11BIT,volatility,sentiment_polarity,1,0.017966996054392,0.9052369077306732,400,9,200,0.9052369077306732,False,False
11BIT,volatility,sentiment_intensity,1,0.3263824013536818,0.6034912718204489,400,9,200,0.6638403990024938,False,False
11BIT,volatility,amplified_sentiment,1,6.353312177588854,0.0199501246882793,400,9,200,0.06583541147132158,False,False
11BIT,volatility,sentiment_divergence,1,0.8280470215603672,0.3466334164588528,400,9,200,0.45719035743973396,False,False
11BIT,volatility,engagement_impact,1,0.7763180905814385,0.3740648379052369,400,9,200,0.45719035743973396,False,False
11BIT,Direction,Positive,1,1.411477840974127,0.2144638403990025,400,9,200,0.883291770573566,False,False
11BIT,Direction,view_count_Negative,1,2.132789165868754,0.1446384039900249,400,9,200,0.883291770573566,False,False
11BIT,Direction,view_count_Neutral,1,0.7066628599026603,0.4613466334164589,400,9,200,0.883291770573566,False,False
11BIT,Direction,view_count_Positive,1,0.2636280877773232,0.6084788029925187,400,9,200,0.883291770573566,False,False
11BIT,Direction,retweet_count_Neutral,1,0.0618663539882128,0.8029925187032418,400,9,200,0.883291770573566,False,False
11BIT,Direction,total_views,3,0.7230088729506102,0.6084788029925187,400,9,200,0.883291770573566,False,False
11BIT,Direction,sentiment_polarity,1,0.196914474563144,0.6758104738154613,400,9,200,0.883291770573566,False,False
11BIT,Direction,sentiment_intensity,1,0.3701759726084874,0.5211970074812967,400,9,200,0.883291770573566,False,False
11BIT,Direction,amplified_sentiment,1,0.8798436229437387,0.4014962593516209,400,9,200,0.883291770573566,False,False
11BIT,Direction,sentiment_divergence,1,0.0009825880080742,0.9750623441396508,400,9,200,0.9750623441396508,False,False
11BIT,Direction,engagement_impact,1,0.087704140486261,0.7531172069825436,400,9,200,0.883291770573566,False,False
11BIT,Change,Positive,3,1.5018096875611682,0.1546134663341646,400,9,200,0.3200332502078138,False,False
11BIT,Change,view_count_Negative,3,7.939827062524627,0.0099750623441396,400,9,200,0.1097256857855356,False,False
11BIT,Change,view_count_Neutral,1,2.363959826056351,0.0673316708229426,400,9,200,0.23316708229426425,False,False
11BIT,Change,view_count_Positive,3,1.0788073876222204,0.1745635910224439,400,9,200,0.3200332502078138,False,False
11BIT,Change,retweet_count_Neutral,1,0.2432042553418247,0.5112219451371571,400,9,200,0.6248268218343032,False,False
11BIT,Change,total_views,3,1.7275785479895296,0.084788029925187,400,9,200,0.23316708229426425,False,False
11BIT,Change,sentiment_polarity,1,0.1845919705171152,0.6758104738154613,400,9,200,0.7406483790523691,False,False
11BIT,Change,sentiment_intensity,1,1.5772433556171668,0.2219451371571072,400,9,200,0.3487709298183113,False,False
11BIT,Change,amplified_sentiment,1,2.827665333676162,0.0648379052369077,400,9,200,0.23316708229426425,False,False
11BIT,Change,sentiment_divergence,1,0.1029027798344959,0.7406483790523691,400,9,200,0.7406483790523691,False,False
11BIT,Change,engagement_impact,1,0.6891435602965221,0.4189526184538653,400,9,200,0.5760598503740647,False,False
ALLEGRO,Wolumen,Negative,2,0.0477401379377421,0.945137157107232,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,Positive,1,0.0002189225921319,0.9950124688279302,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,view_count_Negative,1,0.0253590043140941,0.885286783042394,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,view_count_Neutral,1,0.8937099496840913,0.3167082294264339,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,view_count_Positive,1,2.150137744989325,0.1246882793017456,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,total_retweet_count,1,0.051206459945947,0.7980049875311721,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,retweet_count_Neutral,2,0.0530600919206927,0.9576059850374063,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,retweet_count_Positive,1,0.5113987235388571,0.3516209476309227,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,tweet_volume,2,0.0226981835073083,0.9825436408977556,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,total_views,2,0.305298417444736,0.6384039900249376,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,sentiment_polarity,1,1.0728624085851195,0.2344139650872818,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,sentiment_intensity,1,0.0048587222683716,0.912718204488778,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,amplified_sentiment,2,0.0815784433604439,0.8678304239401496,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,sentiment_divergence,1,0.1346267644077901,0.7381546134663342,400,10,250,0.9950124688279302,False,False
ALLEGRO,Wolumen,engagement_impact,1,0.0392140475756439,0.8428927680798005,400,10,250,0.9950124688279302,False,False
ALLEGRO,Return,Negative,1,0.0538716610886935,0.7980049875311721,400,10,250,0.970074812967581,False,False
ALLEGRO,Return,Positive,1,0.0015774381375867,0.9501246882793016,400,10,250,0.970074812967581,False,False
ALLEGRO,Return,view_count_Negative,1,0.2067327054203072,0.5286783042394015,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,view_count_Neutral,1,1.823026228510656,0.1720698254364089,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,view_count_Positive,1,2.027157588844051,0.1670822942643391,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,total_retweet_count,1,0.0074366767125293,0.9002493765586035,400,10,250,0.970074812967581,False,False
ALLEGRO,Return,retweet_count_Neutral,1,0.3931944541825418,0.4638403990024937,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,retweet_count_Positive,1,0.1975609458325437,0.6084788029925187,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,tweet_volume,1,0.0219722953097165,0.8478802992518704,400,10,250,0.970074812967581,False,False
ALLEGRO,Return,total_views,1,1.2696853368138137,0.2044887780548628,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,sentiment_polarity,1,0.7062837382478098,0.4214463840399002,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,sentiment_intensity,1,0.867156612073104,0.3840399002493765,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,amplified_sentiment,1,0.1336874790454153,0.6309226932668329,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,sentiment_divergence,1,0.5272588966286501,0.4438902743142144,400,10,250,0.9463840399002494,False,False
ALLEGRO,Return,engagement_impact,1,0.0021319300336279,0.970074812967581,400,10,250,0.970074812967581,False,False
ALLEGRO,volatility,Negative,1,0.5316802882371119,0.456359102244389,400,10,250,0.919576059850374,False,False
ALLEGRO,volatility,Positive,1,0.3296932593155697,0.5211970074812967,400,10,250,0.919576059850374,False,False
ALLEGRO,volatility,view_count_Negative,1,0.3709853779980429,0.5012468827930174,400,10,250,0.919576059850374,False,False
ALLEGRO,volatility,view_count_Neutral,1,2.853241826858648,0.0822942643391521,400,10,250,0.6172069825436408,False,False
ALLEGRO,volatility,view_count_Positive,1,0.1322514840971104,0.7256857855361596,400,10,250,0.919576059850374,False,False
