Company,Target Variable,Source Feature,Lag,F_stat,p_value_perm,B_valid,block,T,p_value_perm_bh,significant_perm_bh,Flag
11BIT,volatility_gk,view_count_Negative,13,3.0905112287612866,0.1271820448877805,400,14,200,0.23316708229426428,False,False
11BIT,volatility_gk,view_count_Neutral,3,2.6932962450594173,0.054862842892768,400,9,200,0.17242607766298515,False,False
11BIT,volatility_gk,view_count_Positive,20,4.59373771724626,0.084788029925187,400,21,200,0.19201995012468817,False,False
11BIT,volatility_gk,retweet_count_Neutral,3,2.0561550420263908,0.1147132169576059,400,9,200,0.2294264339152118,False,False
11BIT,volatility_gk,total_views,11,3.5666020155037126,0.0872817955112219,400,12,200,0.19201995012468817,False,False
11BIT,volatility_gk,abnormal_tweet_volume,2,10.291613038768531,0.0124688279301745,400,9,200,0.09143807148794635,False,False
11BIT,volatility_gk,tweet_volume_ratio,3,10.612115682527254,0.0099750623441396,400,9,200,0.09143807148794635,False,False
11BIT,volatility_gk,Positive,3,7.554248092606968,0.0249376558603491,400,9,200,0.13167082294264315,False,False
11BIT,volatility_gk,sentiment_polarity,2,0.3062855171272538,0.6683291770573566,400,9,200,0.7351620947630924,False,False
11BIT,volatility_gk,view_weighted_polarity,2,0.1595468625604542,0.770573566084788,400,9,200,0.8072675454221588,False,False
11BIT,volatility_gk,sentiment_intensity,2,1.370037173155659,0.2394014962593516,400,9,200,0.37620235126469537,False,False
11BIT,volatility_gk,sentiment_divergence,2,0.8048639082016383,0.4513715710723192,400,9,200,0.5516763646439456,False,False
11BIT,volatility_gk,positive_view_share,2,0.059680910655869,0.9501246882793016,400,9,200,0.9501246882793016,False,False
11BIT,volatility_gk,negative_view_share,2,0.70203000877537,0.3915211970074813,400,9,200,0.5066744902449758,False,False
11BIT,volatility_gk,sentiment_momentum,9,0.5245427403636226,0.5112219451371571,400,10,200,0.5919411996324977,False,False
11BIT,volatility_gk,retweet_virality,2,0.6245017716770214,0.1571072319201995,400,9,200,0.26587377709572224,False,False
