Company,Target Variable,Source Feature,Lag,F_stat,p_value_perm,B_valid,block,T,p_value_perm_bh,significant_perm_bh,Flag
11BIT,volatility_gk,view_count_Negative,13,3.0905112287612866,0.027431421446384,400,14,200,0.08621303883149257,False,False
11BIT,volatility_gk,view_count_Neutral,3,2.6932962450594173,0.054862842892768,400,9,200,0.12618453865336637,False,False
11BIT,volatility_gk,view_count_Positive,20,4.59373771724626,0.0049875311720698,400,21,200,0.03657522859517854,True,True
11BIT,volatility_gk,retweet_count_Neutral,3,2.0561550420263908,0.1396508728179551,400,9,200,0.25602660016625106,False,False
11BIT,volatility_gk,total_views,11,3.5666020155037126,0.0423940149625935,400,12,200,0.11658354114713212,False,False
11BIT,volatility_gk,abnormal_tweet_volume,2,10.291613038768531,0.0049875311720698,400,9,200,0.03657522859517854,True,True
11BIT,volatility_gk,tweet_volume_ratio,3,10.612115682527254,0.0124688279301745,400,9,200,0.0548628428927678,False,False
11BIT,volatility_gk,Positive,3,7.554248092606968,0.0124688279301745,400,9,200,0.0548628428927678,False,False
11BIT,volatility_gk,sentiment_polarity,2,0.3062855171272538,0.7331670822942643,400,9,200,0.8064837905236908,False,False
11BIT,volatility_gk,view_weighted_polarity,2,0.1595468625604542,0.8129675810473815,400,9,200,0.8516803230020187,False,False
11BIT,volatility_gk,sentiment_intensity,2,1.370037173155659,0.28428927680798,400,9,200,0.3908977556109725,False,False
11BIT,volatility_gk,sentiment_divergence,2,0.8048639082016383,0.4339152119700748,400,9,200,0.5486284289276808,False,False
11BIT,volatility_gk,positive_view_share,2,0.059680910655869,0.9551122194513716,400,9,200,0.9551122194513716,False,False
11BIT,volatility_gk,negative_view_share,2,0.70203000877537,0.4488778054862843,400,9,200,0.5486284289276808,False,False
11BIT,volatility_gk,sentiment_momentum,9,0.5245427403636226,0.683291770573566,400,10,200,0.7911799448746554,False,False
11BIT,volatility_gk,retweet_virality,2,0.6245017716770214,0.2418952618453865,400,9,200,0.3767248545303408,False,False
11BIT,volatility_gk,log1p_total_views,2,1.3617287984946091,0.226932668329177,400,9,200,0.3767248545303408,False,False
11BIT,volatility_gk,log1p_total_retweet_count,3,3.307851656752348,0.0573566084788029,400,9,200,0.12618453865336637,False,False
11BIT,volatility_gk,log1p_Negative,2,8.592468973735848,0.0049875311720698,400,9,200,0.03657522859517854,True,True
11BIT,volatility_gk,log1p_view_count_Neutral,2,1.343974335093425,0.256857855361596,400,9,200,0.3767248545303408,False,False
11BIT,volatility_gk,log1p_view_count_Negative,3,3.2060387621751234,0.0149625935162094,400,9,200,0.054862842892767806,False,False
11BIT,volatility_gk,log1p_retweet_count_Neutral,4,2.7148893854564946,0.0798004987531172,400,9,200,0.1596009975062344,False,False
11BIT,Wolumen,view_count_Negative,13,5.588113428001741,0.027431421446384,400,14,200,0.075436408977556,False,False
11BIT,Wolumen,view_count_Neutral,7,10.361128729208202,0.0049875311720698,400,9,200,0.03657522859517854,True,True
11BIT,Wolumen,view_count_Positive,16,7.272629330939271,0.0024937655860349,400,17,200,0.0274314214463839,True,True
11BIT,Wolumen,retweet_count_Neutral,3,1.468798611342929,0.1521197007481296,400,9,200,0.25743333972760396,False,False
11BIT,Wolumen,total_views,13,3.275640789176148,0.0224438902743142,400,14,200,0.075436408977556,False,False
11BIT,Wolumen,abnormal_tweet_volume,3,5.184815544264479,0.027431421446384,400,9,200,0.075436408977556,False,False
11BIT,Wolumen,tweet_volume_ratio,8,4.293688222617278,0.0174563591022443,400,9,200,0.075436408977556,False,False
11BIT,Wolumen,Positive,3,9.134737217794086,0.0024937655860349,400,9,200,0.0274314214463839,True,True
11BIT,Wolumen,sentiment_polarity,3,0.1835675953442782,0.8603491271820449,400,9,200,0.9501246882793016,False,False
11BIT,Wolumen,view_weighted_polarity,3,0.113206697137559,0.9201995012468828,400,9,200,0.9501246882793016,False,False
11BIT,Wolumen,sentiment_intensity,3,0.638714447994266,0.6483790523690773,400,9,200,0.9395261845386533,False,False
11BIT,Wolumen,sentiment_divergence,3,0.2514336559742674,0.8653366583541147,400,9,200,0.9501246882793016,False,False
11BIT,Wolumen,positive_view_share,3,0.3553497473992539,0.7456359102244389,400,9,200,0.9501246882793016,False,False
11BIT,Wolumen,negative_view_share,5,0.5302263074590973,0.683291770573566,400,9,200,0.9395261845386533,False,False
11BIT,Wolumen,sentiment_momentum,11,2.480554305363856,0.0997506234413965,400,12,200,0.2194513715710723,False,False
11BIT,Wolumen,retweet_virality,3,0.0300472095880164,0.9501246882793016,400,9,200,0.9501246882793016,False,False
11BIT,Wolumen,log1p_total_views,4,0.7165142692501019,0.6334164588528678,400,9,200,0.9395261845386533,False,False
11BIT,Wolumen,log1p_total_retweet_count,3,2.4357746831389173,0.0947630922693266,400,9,200,0.2194513715710723,False,False
11BIT,Wolumen,log1p_Negative,7,3.2916693589253816,0.0149625935162094,400,9,200,0.075436408977556,False,False
11BIT,Wolumen,log1p_view_count_Neutral,3,0.3913231294859035,0.8179551122194514,400,9,200,0.9501246882793016,False,False
11BIT,Wolumen,log1p_view_count_Negative,5,1.6341911404449028,0.14214463840399,400,9,200,0.25743333972760396,False,False
11BIT,Wolumen,log1p_retweet_count_Neutral,3,2.321345911092373,0.1172069825436409,400,9,200,0.2344139650872818,False,False
11BIT,Return,view_count_Negative,13,4.537205279909249,0.0174563591022443,400,14,200,0.06400665004156245,False,False
11BIT,Return,view_count_Neutral,3,1.182035417805274,0.28428927680798,400,9,200,0.36790376998679764,False,False
11BIT,Return,view_count_Positive,3,1.1197856510559778,0.2443890274314214,400,9,200,0.3360349127182044,False,False
11BIT,Return,retweet_count_Neutral,1,0.0598901275217605,0.7905236907730673,400,9,200,0.8412302576891104,False,False
11BIT,Return,total_views,3,2.45689390709474,0.054862842892768,400,9,200,0.16458852867830412,False,False
11BIT,Return,abnormal_tweet_volume,3,5.551204768365975,0.0049875311720698,400,9,200,0.0548628428927678,False,False
11BIT,Return,tweet_volume_ratio,3,7.67308447373123,0.0099750623441396,400,9,200,0.0548628428927678,False,False
11BIT,Return,Positive,3,2.522725136497208,0.0648379052369077,400,9,200,0.16458852867830412,False,False
11BIT,Return,sentiment_polarity,1,0.0182621373223251,0.9002493765586035,400,9,200,0.9002493765586035,False,False
11BIT,Return,view_weighted_polarity,1,0.3523165817018421,0.5835411471321695,400,9,200,0.6756792229951437,False,False
11BIT,Return,sentiment_intensity,1,1.822026709129264,0.1446384039900249,400,9,200,0.24477268367542673,False,False
11BIT,Return,sentiment_divergence,1,0.0926874245789954,0.8029925187032418,400,9,200,0.8412302576891104,False,False
11BIT,Return,positive_view_share,1,0.2987710056882974,0.5835411471321695,400,9,200,0.6756792229951437,False,False
11BIT,Return,negative_view_share,1,2.379047474504211,0.1097256857855361,400,9,200,0.21487946799667498,False,False
11BIT,Return,sentiment_momentum,4,1.7434280895397647,0.1645885286783042,400,9,200,0.258639116494478,False,False
11BIT,Return,retweet_virality,1,2.5011367930003607,0.1022443890274314,400,9,200,0.21487946799667498,False,False
11BIT,Return,log1p_total_views,1,9.792349710424936,0.0024937655860349,400,9,200,0.0548628428927678,False,False
11BIT,Return,log1p_total_retweet_count,3,1.5945389150073015,0.2119700748129676,400,9,200,0.31088944305901917,False,False
11BIT,Return,log1p_Negative,3,2.2457950422556188,0.1172069825436409,400,9,200,0.21487946799667498,False,False
11BIT,Return,log1p_view_count_Neutral,1,6.91352631573342,0.0074812967581047,400,9,200,0.0548628428927678,False,False
11BIT,Return,log1p_view_count_Negative,2,4.870165105404511,0.0149625935162094,400,9,200,0.06400665004156245,False,False
11BIT,Return,log1p_retweet_count_Neutral,4,2.3334889482771133,0.0673316708229426,400,9,200,0.16458852867830412,False,False
11BIT,Change,view_count_Negative,13,3.7756644556111465,0.0124688279301745,400,14,200,0.0548628428927678,False,False
11BIT,Change,view_count_Neutral,3,0.5088185061356234,0.5985037406483791,400,9,200,0.6987793673710461,False,False
11BIT,Change,view_count_Positive,3,1.0788073876222204,0.2817955112219451,400,9,200,0.38746882793017456,False,False
11BIT,Change,retweet_count_Neutral,1,0.2432042553418247,0.6034912718204489,400,9,200,0.6987793673710461,False,False
11BIT,Change,total_views,3,1.7275785479895296,0.1471321695760598,400,9,200,0.2942643391521196,False,False
11BIT,Change,abnormal_tweet_volume,3,5.3179522754233925,0.0249376558603491,400,9,200,0.0914380714879467,False,False
11BIT,Change,tweet_volume_ratio,3,7.136992540794748,0.0099750623441396,400,9,200,0.0548628428927678,False,False
11BIT,Change,Positive,3,1.5018096875611682,0.1895261845386533,400,9,200,0.3207366199884902,False,False
11BIT,Change,sentiment_polarity,1,0.1845919705171152,0.6932668329177057,400,9,200,0.7625935162094764,False,False
11BIT,Change,view_weighted_polarity,1,0.8024242008119392,0.341645885286783,400,9,200,0.4421299691946604,False,False
11BIT,Change,sentiment_intensity,1,1.5772433556171668,0.2144638403990025,400,9,200,0.3255195344970906,False,False
11BIT,Change,sentiment_divergence,1,0.1029027798344959,0.7780548628428927,400,9,200,0.8029925187032418,False,False
11BIT,Change,positive_view_share,1,0.0729628181760567,0.8029925187032418,400,9,200,0.8029925187032418,False,False
11BIT,Change,negative_view_share,1,2.9662892979617284,0.0872817955112219,400,9,200,0.2133555001385424,False,False
11BIT,Change,sentiment_momentum,4,1.643399122186885,0.1845386533665835,400,9,200,0.3207366199884902,False,False
11BIT,Change,retweet_virality,1,3.235235056367525,0.0448877805486284,400,9,200,0.1410758817242607,False,False
11BIT,Change,log1p_total_views,1,10.146313654935389,0.0024937655860349,400,9,200,0.0548628428927678,False,False
11BIT,Change,log1p_total_retweet_count,3,1.4903803786873808,0.2219451371571072,400,9,200,0.3255195344970906,False,False
11BIT,Change,log1p_Negative,2,2.750793634332387,0.054862842892768,400,9,200,0.150872817955112,False,False
11BIT,Change,log1p_view_count_Neutral,1,7.153127737748101,0.0099750623441396,400,9,200,0.0548628428927678,False,False
11BIT,Change,log1p_view_count_Negative,2,4.658264276898114,0.0099750623441396,400,9,200,0.0548628428927678,False,False
11BIT,Change,log1p_retweet_count_Neutral,4,2.083320325295149,0.1197007481296758,400,9,200,0.26334164588528675,False,False
11BIT,log_ret,view_count_Negative,13,5.231131969006578,0.0074812967581047,400,14,200,0.0548628428927678,False,False
11BIT,log_ret,view_count_Neutral,3,0.6594063070136769,0.5261845386533666,400,9,200,0.6553061789969521,False,False
11BIT,log_ret,view_count_Positive,16,2.846694730180227,0.0498753117206982,400,17,200,0.14020504294818484,False,False
11BIT,log_ret,retweet_count_Neutral,1,0.0032339478589272,0.942643391521197,400,9,200,0.9675810473815462,False,False
11BIT,log_ret,total_views,3,2.622217290761262,0.0573566084788029,400,9,200,0.14020504294818484,False,False
11BIT,log_ret,abnormal_tweet_volume,3,6.185421103205712,0.0099750623441396,400,9,200,0.0548628428927678,False,False
11BIT,log_ret,tweet_volume_ratio,3,8.46894688319997,0.0074812967581047,400,9,200,0.0548628428927678,False,False
11BIT,log_ret,Positive,3,2.144837593787365,0.1022443890274314,400,9,200,0.17302896604642234,False,False
